vendor_id,vendor_name,amount,timestamp,department
V_ZERO,Zero Var Corp,100.0,2026-01-10T12:00:00,Audit
V_ZERO,Zero Var Corp,100.0,2026-01-10T12:00:00,Audit
V_ZERO,Zero Var Corp,100.0,2026-01-10T12:00:00,Audit
V_ZERO,Zero Var Corp,100.0,2026-01-10T12:00:00,Audit
V_ZERO,Zero Var Corp,100.0,2026-01-10T12:00:00,Audit
V_ZERO,Zero Var Corp,100.0,2026-01-10T12:00:00,Audit
V_ZERO,Zero Var Corp,100.0,2026-01-10T12:00:00,Audit
V_ZERO,Zero Var Corp,100.0,2026-01-10T12:00:00,Audit
V_ZERO,Zero Var Corp,100.0,2026-01-10T12:00:00,Audit
V_ZERO,Zero Var Corp,100.0,2026-01-10T12:00:00,Audit
